Saya belum pernah mengalami upaya akses yang tidak sah terhadap akun myITS saya. ,"Portal myITS memiliki mekanisme login yang aman (Misalnya, penggunaan username dan password).","Saya merasa data pribadi saya, seperti nilai dan informasi akademik lainnya, terlindungi dengan baik dalam myITS.",Saya merasa bahwa perlindungan data di Portal myITS sudah aman terhadap serangan dari luar.,Saya merasa perlu adanya edukasi mengenai keamanan myITS sebagai sistem informasi akademik untuk mahahsiswa.,Saya merasa masih ada kelemahan sistem informasi di Portal myITS.,Saya setuju jika terdapat registrasi pengguna secara berkala di myITS.,Saya setuju jika terdapat peninjauan terhadap hak akses user secara berkala di myITS.
Setuju,Netral,Setuju,Netral,Setuju,Setuju,Setuju,Setuju
Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju
Tidak Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju
Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju,Netral
Tidak Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Setuju
Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju
Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju,Tidak Setuju,Tidak Setuju
Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Netral
Tidak Setuju,Sangat Setuju,Netral,Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Sangat Setuju,Sangat Setuju,Setuju,Setuju,Netral,Setuju,Tidak Setuju,Setuju
Netral,Setuju,Setuju,Netral,Netral,Setuju,Netral,Setuju
Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Netral,Setuju,Setuju
Setuju,Setuju,Tidak Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Setuju
Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Netral,Netral
Tidak Setuju,Setuju,Setuju,Netral,Sangat Setuju,Setuju,Setuju,Setuju
Sangat Setuju,Netral,Setuju,Setuju,Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
Sangat Setuju,Setuju,Setuju,Netral,Netral,Netral,Sangat Setuju,Netral
Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Tidak Setuju
Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Netral,Netral,Setuju
Tidak Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Tidak Setuju,Setuju,Setuju
Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Tidak Setuju,Setuju,Setuju
Tidak Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju
Netral,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju
